path,feature,subscenario,table,subscenario_type,custom_method,sub_input_flag,sub_input_column,filename,cols_to_exclude_str,base_table,base_subscenario
temporal,core,temporal_scenario_id,temporal,dir_subsc_only,,0,,,ignore,,
temporal,core,temporal_scenario_id,temporal_iterations,dir_aux,,0,,iterations.csv,,,
temporal,core,temporal_scenario_id,temporal_periods,dir_aux,,0,,period_params.csv,,,
temporal,core,temporal_scenario_id,temporal_superperiods,dir_aux,,0,,superperiods.csv,,,
temporal,core,temporal_scenario_id,temporal_horizons,dir_aux,,0,,horizon_params.csv,,,
temporal,core,temporal_scenario_id,temporal,dir_aux,,0,,structure.csv,ignore,,
temporal,core,temporal_scenario_id,temporal_horizon_timepoints_start_end,dir_aux,temporal,0,,horizon_timepoints.csv,,,
project/portfolios,core,project_portfolio_scenario_id,project_portfolios,simple,,0,,,,,
system_load/system_load/load_components,core,load_components_scenario_id,system_load_components,simple,,0,,,,,
system_load/system_load/load_levels,core,load_levels_scenario_id,system_load_levels,simple,,0,,,,,
system_load/system_load,core,load_scenario_id,system_load,simple,,0,,,,,
system_load/load_zones,core,load_zone_scenario_id,geography_load_zones,simple,,0,,,,,
system_load/load_balance,core,load_balance_scenario_id,geography_load_balance,simple,,0,,,,,
project/load_zones,core,project_load_zone_scenario_id,project_load_zones,simple,,0,,,,,
project/capacity/specified_capacity,data_dependent,project_specified_capacity_scenario_id,project_specified_capacity,simple,,0,,,,,
project/capacity/new_cost,data_dependent,project_new_cost_scenario_id,project_new_cost,simple,,0,,,,,
project/capacity/new_potential,data_dependent,project_new_potential_scenario_id,project_new_potential,simple,,0,,,,,
project/opchar/variable_generator_profiles,data_dependent,variable_generator_profile_scenario_id,project_variable_generator_profiles,simple,,1,project,,,inputs_project_operational_chars,project_operational_chars_scenario_id
project/opchar/variable_generator_profiles/iterations,data_dependent,variable_generator_profile_scenario_id,project_variable_generator_profiles_iterations,skip_subscenario,,1,project,,,inputs_project_operational_chars,project_operational_chars_scenario_id
project/opchar,core,project_operational_chars_scenario_id,project_operational_chars,simple,,0,,,,,
markets/geography_markets,markets,market_scenario_id,geography_markets,simple,,0,,,,,
markets/load_zone_markets,markets,load_zone_market_scenario_id,load_zone_markets,simple,,0,,,,,
markets/prices,markets,market_price_scenario_id,market_prices,simple,,0,,,,,
markets/prices/price_profiles,markets,market_price_profile_scenario_id,market_price_profiles,simple,,1,market,,,market_price_scenario_id,market_prices
markets/volume,markets,market_volume_scenario_id,market_volume,simple,,0,,,,,
markets/volume/volume_profiles,markets,market_volume_profile_scenario_id,market_volume_profiles,simple,,1,market,,,market_volume_scenario_id,market_volume
policy/generic/geography,policy,policy_zone_scenario_id,geography_policy_zones,simple,,0,,,,,
policy/generic/requirements,policy,policy_requirement_scenario_id,system_policy_requirements,dir_main,,0,,requirements.csv,,,
policy/generic/requirements,policy,policy_requirement_scenario_id,system_policy_requirements_load_zone_map,dir_aux,,0,,load_zone_mapping.csv,,,
policy/generic/requirements,policy,policy_requirement_scenario_id,system_policy_month_hour_requirements,dir_aux,,0,,month_hour_requirements.csv,,,
policy/generic/project_policy_zones,policy,project_policy_zone_scenario_id,project_policy_zones,simple,,0,,,,,
policy/generic/project_policy_zones/exceedance_values,policy,exceedance_values_scenario_id,project_policy_exceedance_values,simple,,1,project,,,inputs_project_policy_zones,project_policy_zone_scenario_id
