period,policy_month,policy_hour,cap_fac
203001,1,1,0.0
203001,1,2,0.0
203001,1,3,0.0
203001,1,4,0.0
203001,1,5,0.0
203001,1,6,0.0
203001,1,7,0.028
203001,1,8,0.098
203001,1,9,0.21
203001,1,10,0.322
203001,1,11,0.42
203001,1,12,0.497
203001,1,13,0.56
203001,1,14,0.56
203001,1,15,0.525
203001,1,16,0.455
203001,1,17,0.35
203001,1,18,0.21
203001,1,19,0.07
203001,1,20,0.014
203001,1,21,0.0
203001,1,22,0.0
203001,1,23,0.0
203001,1,24,0.0
203002,2,1,0.0
203002,2,2,0.0
203002,2,3,0.0
203002,2,4,0.0
203002,2,5,0.0
203002,2,6,0.0
203002,2,7,0.03
203002,2,8,0.105
203002,2,9,0.225
203002,2,10,0.345
203002,2,11,0.45
203002,2,12,0.5325
203002,2,13,0.6
203002,2,14,0.6
203002,2,15,0.5625
203002,2,16,0.4875
203002,2,17,0.375
203002,2,18,0.225
203002,2,19,0.075
203002,2,20,0.015
203002,2,21,0.0
203002,2,22,0.0
203002,2,23,0.0
203002,2,24,0.0
203003,3,1,0.0
203003,3,2,0.0
203003,3,3,0.0
203003,3,4,0.0
203003,3,5,0.0
203003,3,6,0.0
203003,3,7,0.034
203003,3,8,0.119
203003,3,9,0.255
203003,3,10,0.391
203003,3,11,0.51
203003,3,12,0.6035
203003,3,13,0.68
203003,3,14,0.68
203003,3,15,0.6375
203003,3,16,0.5525
203003,3,17,0.425
203003,3,18,0.255
203003,3,19,0.085
203003,3,20,0.017
203003,3,21,0.0
203003,3,22,0.0
203003,3,23,0.0
203003,3,24,0.0
203004,4,1,0.0
203004,4,2,0.0
203004,4,3,0.0
203004,4,4,0.0
203004,4,5,0.0
203004,4,6,0.0
203004,4,7,0.036
203004,4,8,0.126
203004,4,9,0.27
203004,4,10,0.414
203004,4,11,0.54
203004,4,12,0.639
203004,4,13,0.72
203004,4,14,0.72
203004,4,15,0.675
203004,4,16,0.585
203004,4,17,0.45
203004,4,18,0.27
203004,4,19,0.09
203004,4,20,0.018
203004,4,21,0.0
203004,4,22,0.0
203004,4,23,0.0
203004,4,24,0.0
203005,5,1,0.0
203005,5,2,0.0
203005,5,3,0.0
203005,5,4,0.0
203005,5,5,0.0
203005,5,6,0.0
203005,5,7,0.038
203005,5,8,0.133
203005,5,9,0.285
203005,5,10,0.437
203005,5,11,0.57
203005,5,12,0.6745
203005,5,13,0.76
203005,5,14,0.76
203005,5,15,0.7125
203005,5,16,0.6175
203005,5,17,0.475
203005,5,18,0.285
203005,5,19,0.095
203005,5,20,0.019
203005,5,21,0.0
203005,5,22,0.0
203005,5,23,0.0
203005,5,24,0.0
203006,6,1,0.0
203006,6,2,0.0
203006,6,3,0.0
203006,6,4,0.0
203006,6,5,0.0
203006,6,6,0.0
203006,6,7,0.04
203006,6,8,0.14
203006,6,9,0.3
203006,6,10,0.46
203006,6,11,0.6
203006,6,12,0.71
203006,6,13,0.8
203006,6,14,0.8
203006,6,15,0.75
203006,6,16,0.65
203006,6,17,0.5
203006,6,18,0.3
203006,6,19,0.1
203006,6,20,0.02
203006,6,21,0.0
203006,6,22,0.0
203006,6,23,0.0
203006,6,24,0.0
203007,7,1,0.0
203007,7,2,0.0
203007,7,3,0.0
203007,7,4,0.0
203007,7,5,0.0
203007,7,6,0.0
203007,7,7,0.04
203007,7,8,0.14
203007,7,9,0.3
203007,7,10,0.46
203007,7,11,0.6
203007,7,12,0.71
203007,7,13,0.8
203007,7,14,0.8
203007,7,15,0.75
203007,7,16,0.65
203007,7,17,0.5
203007,7,18,0.3
203007,7,19,0.1
203007,7,20,0.02
203007,7,21,0.0
203007,7,22,0.0
203007,7,23,0.0
203007,7,24,0.0
203008,8,1,0.0
203008,8,2,0.0
203008,8,3,0.0
203008,8,4,0.0
203008,8,5,0.0
203008,8,6,0.0
203008,8,7,0.038
203008,8,8,0.133
203008,8,9,0.285
203008,8,10,0.437
203008,8,11,0.57
203008,8,12,0.6745
203008,8,13,0.76
203008,8,14,0.76
203008,8,15,0.7125
203008,8,16,0.6175
