period,policy_month,policy_hour,cap_fac
203001,1,1,0.2475
203001,1,2,0.2585
203001,1,3,0.264
203001,1,4,0.2695
203001,1,5,0.264
203001,1,6,0.253
203001,1,7,0.231
203001,1,8,0.209
203001,1,9,0.187
203001,1,10,0.1705
203001,1,11,0.1595
203001,1,12,0.154
203001,1,13,0.1485
203001,1,14,0.1485
203001,1,15,0.154
203001,1,16,0.165
203001,1,17,0.176
203001,1,18,0.1925
203001,1,19,0.209
203001,1,20,0.22
203001,1,21,0.231
203001,1,22,0.2365
203001,1,23,0.242
203001,1,24,0.2475
203002,2,1,0.234
203002,2,2,0.2444
203002,2,3,0.2496
203002,2,4,0.2548
203002,2,5,0.2496
203002,2,6,0.2392
203002,2,7,0.2184
203002,2,8,0.1976
203002,2,9,0.1768
203002,2,10,0.1612
203002,2,11,0.1508
203002,2,12,0.1456
203002,2,13,0.1404
203002,2,14,0.1404
203002,2,15,0.1456
203002,2,16,0.156
203002,2,17,0.1664
203002,2,18,0.182
203002,2,19,0.1976
203002,2,20,0.208
203002,2,21,0.2184
203002,2,22,0.2236
203002,2,23,0.2288
203002,2,24,0.234
203003,3,1,0.216
203003,3,2,0.2256
203003,3,3,0.2304
203003,3,4,0.2352
203003,3,5,0.2304
203003,3,6,0.2208
203003,3,7,0.2016
203003,3,8,0.1824
203003,3,9,0.1632
203003,3,10,0.1488
203003,3,11,0.1392
203003,3,12,0.1344
203003,3,13,0.1296
203003,3,14,0.1296
203003,3,15,0.1344
203003,3,16,0.144
203003,3,17,0.1536
203003,3,18,0.168
203003,3,19,0.1824
203003,3,20,0.192
203003,3,21,0.2016
203003,3,22,0.2064
203003,3,23,0.2112
203003,3,24,0.216
203004,4,1,0.1935
203004,4,2,0.2021
203004,4,3,0.2064
203004,4,4,0.2107
203004,4,5,0.2064
203004,4,6,0.1978
203004,4,7,0.1806
203004,4,8,0.1634
203004,4,9,0.1462
203004,4,10,0.1333
203004,4,11,0.1247
203004,4,12,0.1204
203004,4,13,0.1161
203004,4,14,0.1161
203004,4,15,0.1204
203004,4,16,0.129
203004,4,17,0.1376
203004,4,18,0.1505
203004,4,19,0.1634
203004,4,20,0.172
203004,4,21,0.1806
203004,4,22,0.1849
203004,4,23,0.1892
203004,4,24,0.1935
203005,5,1,0.18
