policy_name,policy_zone,period,policy_month,policy_hour,policy_requirement
SOD,SOD_Zone,203001,1,1,2475
SOD,SOD_Zone,203001,1,2,2376
SOD,SOD_Zone,203001,1,3,2310
SOD,SOD_Zone,203001,1,4,2244
SOD,SOD_Zone,203001,1,5,2277
SOD,SOD_Zone,203001,1,6,2376
SOD,SOD_Zone,203001,1,7,2640
SOD,SOD_Zone,203001,1,8,2970
SOD,SOD_Zone,203001,1,9,3234
SOD,SOD_Zone,203001,1,10,3300
SOD,SOD_Zone,203001,1,11,3267
SOD,SOD_Zone,203001,1,12,3201
SOD,SOD_Zone,203001,1,13,3135
SOD,SOD_Zone,203001,1,14,3069
SOD,SOD_Zone,203001,1,15,3036
SOD,SOD_Zone,203001,1,16,3069
SOD,SOD_Zone,203001,1,17,3135
SOD,SOD_Zone,203001,1,18,3300
SOD,SOD_Zone,203001,1,19,3366
SOD,SOD_Zone,203001,1,20,3399
SOD,SOD_Zone,203001,1,21,3333
SOD,SOD_Zone,203001,1,22,3168
SOD,SOD_Zone,203001,1,23,2904
SOD,SOD_Zone,203001,1,24,2640
SOD,SOD_Zone,203002,2,1,2362.5
SOD,SOD_Zone,203002,2,2,2268
SOD,SOD_Zone,203002,2,3,2205
SOD,SOD_Zone,203002,2,4,2142
SOD,SOD_Zone,203002,2,5,2173.5
SOD,SOD_Zone,203002,2,6,2268
SOD,SOD_Zone,203002,2,7,2520
SOD,SOD_Zone,203002,2,8,2835
SOD,SOD_Zone,203002,2,9,3087
SOD,SOD_Zone,203002,2,10,3150
SOD,SOD_Zone,203002,2,11,3118.5
SOD,SOD_Zone,203002,2,12,3055.5
SOD,SOD_Zone,203002,2,13,2992.5
SOD,SOD_Zone,203002,2,14,2929.5
SOD,SOD_Zone,203002,2,15,2898
SOD,SOD_Zone,203002,2,16,2929.5
SOD,SOD_Zone,203002,2,17,2992.5
SOD,SOD_Zone,203002,2,18,3150
SOD,SOD_Zone,203002,2,19,3213
SOD,SOD_Zone,203002,2,20,3244.5
