project,vintage,operational_lifetime_yrs,fixed_cost_per_mw_yr,fixed_cost_per_energy_mwh_yr,fixed_cost_per_stor_mwh_yr,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr,financial_lifetime_yrs,annualized_real_cost_per_mw_yr,annualized_real_cost_per_energy_mwh_yr,annualized_real_cost_per_stor_mwh_yr,fuel_production_capacity_cost_per_fuelunitperhour_yr,fuel_release_capacity_cost_per_fuelunitperhour_yr,fuel_storage_capacity_cost_per_fuelunit_yr,supply_curve_scenario_id
Solar_New,203001,30,0,,,,,,30,80000,,,,,,
Wind_New,203001,30,0,,,,,,30,90000,,,,,,
Battery_New,203001,15,0,,0,,,,15,15000,,3000,,,,
Solar_New,203501,30,0,,,,,,30,65000,,,,,,
Wind_New,203501,30,0,,,,,,30,75000,,,,,,
Battery_New,203501,15,0,,0,,,,15,12000,,2500,,,,
Gas_RA,203001,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203002,0.076712,0,,,,,,0.076712,20,,,,,,
Gas_RA,203003,0.084931,0,,,,,,0.084931,20,,,,,,
Gas_RA,203004,0.082192,0,,,,,,0.082192,20,,,,,,
Gas_RA,203005,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203006,0.082191,0,,,,,,0.082191,20,,,,,,
Gas_RA,203007,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203008,0.084931,0,,,,,,0.084931,20,,,,,,
Gas_RA,203009,0.082192,0,,,,,,0.082192,20,,,,,,
Gas_RA,203010,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203011,0.082191,0,,,,,,0.082191,20,,,,,,
Gas_RA,203012,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203501,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203502,0.076712,0,,,,,,0.076712,20,,,,,,
Gas_RA,203503,0.084931,0,,,,,,0.084931,20,,,,,,
Gas_RA,203504,0.082192,0,,,,,,0.082192,20,,,,,,
Gas_RA,203505,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203506,0.082191,0,,,,,,0.082191,20,,,,,,
Gas_RA,203507,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203508,0.084931,0,,,,,,0.084931,20,,,,,,
Gas_RA,203509,0.082192,0,,,,,,0.082192,20,,,,,,
Gas_RA,203510,0.084932,0,,,,,,0.084932,20,,,,,,
Gas_RA,203511,0.082191,0,,,,,,0.082191,20,,,,,,
Gas_RA,203512,0.084932,0,,,,,,0.084932,20,,,,,,
