project,period,specified_capacity_mw,specified_energy_mwh,shaping_capacity_mw,hyb_gen_specified_capacity_mw,hyb_stor_specified_capacity_mw,specified_stor_capacity_mwh,fuel_production_capacity_fuelunitperhour,fuel_release_capacity_fuelunitperhour,fuel_storage_capacity_fuelunit
Solar_Existing,203001,5300,,,,,,,,
Wind_Existing,203001,5300,,,,,,,,
Battery_Existing,203001,2000,,,,,8000,,,
Solar_Existing,203002,5300,,,,,,,,
Wind_Existing,203002,5300,,,,,,,,
Battery_Existing,203002,2000,,,,,8000,,,
Solar_Existing,203003,5300,,,,,,,,
Wind_Existing,203003,5300,,,,,,,,
Battery_Existing,203003,2000,,,,,8000,,,
Solar_Existing,203004,5300,,,,,,,,
Wind_Existing,203004,5300,,,,,,,,
Battery_Existing,203004,2000,,,,,8000,,,
Solar_Existing,203005,5300,,,,,,,,
Wind_Existing,203005,5300,,,,,,,,
Battery_Existing,203005,2000,,,,,8000,,,
Solar_Existing,203006,5300,,,,,,,,
Wind_Existing,203006,5300,,,,,,,,
Battery_Existing,203006,2000,,,,,8000,,,
Solar_Existing,203007,5300,,,,,,,,
Wind_Existing,203007,5300,,,,,,,,
Battery_Existing,203007,2000,,,,,8000,,,
Solar_Existing,203008,5300,,,,,,,,
Wind_Existing,203008,5300,,,,,,,,
Battery_Existing,203008,2000,,,,,8000,,,
Solar_Existing,203009,5300,,,,,,,,
Wind_Existing,203009,5300,,,,,,,,
Battery_Existing,203009,2000,,,,,8000,,,
Solar_Existing,203010,5300,,,,,,,,
Wind_Existing,203010,5300,,,,,,,,
Battery_Existing,203010,2000,,,,,8000,,,
Solar_Existing,203011,5300,,,,,,,,
Wind_Existing,203011,5300,,,,,,,,
Battery_Existing,203011,2000,,,,,8000,,,
Solar_Existing,203012,5300,,,,,,,,
Wind_Existing,203012,5300,,,,,,,,
Battery_Existing,203012,2000,,,,,8000,,,
Solar_Existing,203501,5300,,,,,,,,
Wind_Existing,203501,5300,,,,,,,,
Battery_Existing,203501,2000,,,,,8000,,,
Solar_Existing,203502,5300,,,,,,,,
Wind_Existing,203502,5300,,,,,,,,
Battery_Existing,203502,2000,,,,,8000,,,
Solar_Existing,203503,5300,,,,,,,,
Wind_Existing,203503,5300,,,,,,,,
Battery_Existing,203503,2000,,,,,8000,,,
Solar_Existing,203504,5300,,,,,,,,
Wind_Existing,203504,5300,,,,,,,,
Battery_Existing,203504,2000,,,,,8000,,,
Solar_Existing,203505,5300,,,,,,,,
Wind_Existing,203505,5300,,,,,,,,
Battery_Existing,203505,2000,,,,,8000,,,
Solar_Existing,203506,5300,,,,,,,,
Wind_Existing,203506,5300,,,,,,,,
Battery_Existing,203506,2000,,,,,8000,,,
Solar_Existing,203507,5300,,,,,,,,
Wind_Existing,203507,5300,,,,,,,,
Battery_Existing,203507,2000,,,,,8000,,,
Solar_Existing,203508,5300,,,,,,,,
Wind_Existing,203508,5300,,,,,,,,
Battery_Existing,203508,2000,,,,,8000,,,
Solar_Existing,203509,5300,,,,,,,,
Wind_Existing,203509,5300,,,,,,,,
Battery_Existing,203509,2000,,,,,8000,,,
Solar_Existing,203510,5300,,,,,,,,
Wind_Existing,203510,5300,,,,,,,,
Battery_Existing,203510,2000,,,,,8000,,,
Solar_Existing,203511,5300,,,,,,,,
Wind_Existing,203511,5300,,,,,,,,
Battery_Existing,203511,2000,,,,,8000,,,
Solar_Existing,203512,5300,,,,,,,,
Wind_Existing,203512,5300,,,,,,,,
Battery_Existing,203512,2000,,,,,8000,,,
