project,period,fixed_cost_per_mw_yr,fixed_cost_per_energy_mwh_yr,fixed_cost_per_shaping_mw_yr,hyb_gen_fixed_cost_per_mw_yr,hyb_stor_fixed_cost_per_mw_yr,fixed_cost_per_stor_mwh_yr,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr
Solar_Existing,203001,15000,,,,,,,,
Wind_Existing,203001,20000,,,,,,,,
Battery_Existing,203001,10000,,,,,2500,,,
Solar_Existing,203002,15000,,,,,,,,
Wind_Existing,203002,20000,,,,,,,,
Battery_Existing,203002,10000,,,,,2500,,,
Solar_Existing,203003,15000,,,,,,,,
Wind_Existing,203003,20000,,,,,,,,
Battery_Existing,203003,10000,,,,,2500,,,
Solar_Existing,203004,15000,,,,,,,,
Wind_Existing,203004,20000,,,,,,,,
Battery_Existing,203004,10000,,,,,2500,,,
Solar_Existing,203005,15000,,,,,,,,
Wind_Existing,203005,20000,,,,,,,,
Battery_Existing,203005,10000,,,,,2500,,,
Solar_Existing,203006,15000,,,,,,,,
Wind_Existing,203006,20000,,,,,,,,
Battery_Existing,203006,10000,,,,,2500,,,
Solar_Existing,203007,15000,,,,,,,,
Wind_Existing,203007,20000,,,,,,,,
Battery_Existing,203007,10000,,,,,2500,,,
Solar_Existing,203008,15000,,,,,,,,
Wind_Existing,203008,20000,,,,,,,,
Battery_Existing,203008,10000,,,,,2500,,,
Solar_Existing,203009,15000,,,,,,,,
Wind_Existing,203009,20000,,,,,,,,
Battery_Existing,203009,10000,,,,,2500,,,
Solar_Existing,203010,15000,,,,,,,,
Wind_Existing,203010,20000,,,,,,,,
Battery_Existing,203010,10000,,,,,2500,,,
Solar_Existing,203011,15000,,,,,,,,
Wind_Existing,203011,20000,,,,,,,,
Battery_Existing,203011,10000,,,,,2500,,,
Solar_Existing,203012,15000,,,,,,,,
Wind_Existing,203012,20000,,,,,,,,
Battery_Existing,203012,10000,,,,,2500,,,
Solar_Existing,203501,15000,,,,,,,,
Wind_Existing,203501,20000,,,,,,,,
Battery_Existing,203501,10000,,,,,2500,,,
Solar_Existing,203502,15000,,,,,,,,
Wind_Existing,203502,20000,,,,,,,,
Battery_Existing,203502,10000,,,,,2500,,,
Solar_Existing,203503,15000,,,,,,,,
Wind_Existing,203503,20000,,,,,,,,
Battery_Existing,203503,10000,,,,,2500,,,
Solar_Existing,203504,15000,,,,,,,,
Wind_Existing,203504,20000,,,,,,,,
Battery_Existing,203504,10000,,,,,2500,,,
Solar_Existing,203505,15000,,,,,,,,
Wind_Existing,203505,20000,,,,,,,,
Battery_Existing,203505,10000,,,,,2500,,,
Solar_Existing,203506,15000,,,,,,,,
Wind_Existing,203506,20000,,,,,,,,
Battery_Existing,203506,10000,,,,,2500,,,
Solar_Existing,203507,15000,,,,,,,,
Wind_Existing,203507,20000,,,,,,,,
Battery_Existing,203507,10000,,,,,2500,,,
Solar_Existing,203508,15000,,,,,,,,
Wind_Existing,203508,20000,,,,,,,,
Battery_Existing,203508,10000,,,,,2500,,,
Solar_Existing,203509,15000,,,,,,,,
Wind_Existing,203509,20000,,,,,,,,
Battery_Existing,203509,10000,,,,,2500,,,
Solar_Existing,203510,15000,,,,,,,,
Wind_Existing,203510,20000,,,,,,,,
Battery_Existing,203510,10000,,,,,2500,,,
Solar_Existing,203511,15000,,,,,,,,
Wind_Existing,203511,20000,,,,,,,,
Battery_Existing,203511,10000,,,,,2500,,,
Solar_Existing,203512,15000,,,,,,,,
Wind_Existing,203512,20000,,,,,,,,
Battery_Existing,203512,10000,,,,,2500,,,
