weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
0,0,1,20300001,0.0
0,0,1,20300002,0.0
0,0,1,20300003,0.0
0,0,1,20300004,0.0
0,0,1,20300005,0.0
0,0,1,20300006,0.0
0,0,1,20300007,0.028
0,0,1,20300008,0.098
0,0,1,20300009,0.21
0,0,1,20300010,0.322
0,0,1,20300011,0.42
0,0,1,20300012,0.497
0,0,1,20300013,0.56
0,0,1,20300014,0.56
0,0,1,20300015,0.525
0,0,1,20300016,0.455
0,0,1,20300017,0.35
0,0,1,20300018,0.21
0,0,1,20300019,0.07
0,0,1,20300020,0.014
0,0,1,20300021,0.0
0,0,1,20300022,0.0
0,0,1,20300023,0.0
0,0,1,20300024,0.0
0,0,1,20300025,0.0
0,0,1,20300026,0.0
0,0,1,20300027,0.0
0,0,1,20300028,0.0
0,0,1,20300029,0.0
0,0,1,20300030,0.0
0,0,1,20300031,0.028
0,0,1,20300032,0.098
0,0,1,20300033,0.21
0,0,1,20300034,0.322
0,0,1,20300035,0.42
0,0,1,20300036,0.497
0,0,1,20300037,0.56
0,0,1,20300038,0.56
0,0,1,20300039,0.525
0,0,1,20300040,0.455
0,0,1,20300041,0.35
0,0,1,20300042,0.21
0,0,1,20300043,0.07
0,0,1,20300044,0.014
0,0,1,20300045,0.0
0,0,1,20300046,0.0
0,0,1,20300047,0.0
0,0,1,20300048,0.0
0,0,1,20300049,0.0
0,0,1,20300050,0.0
0,0,1,20300051,0.0
0,0,1,20300052,0.0
0,0,1,20300053,0.0
0,0,1,20300054,0.0
0,0,1,20300055,0.028
0,0,1,20300056,0.098
0,0,1,20300057,0.21
0,0,1,20300058,0.322
0,0,1,20300059,0.42
0,0,1,20300060,0.497
0,0,1,20300061,0.56
0,0,1,20300062,0.56
0,0,1,20300063,0.525
0,0,1,20300064,0.455
0,0,1,20300065,0.35
0,0,1,20300066,0.21
0,0,1,20300067,0.07
0,0,1,20300068,0.014
0,0,1,20300069,0.0
0,0,1,20300070,0.0
0,0,1,20300071,0.0
0,0,1,20300072,0.0
0,0,1,20300073,0.0
0,0,1,20300074,0.0
0,0,1,20300075,0.0
0,0,1,20300076,0.0
0,0,1,20300077,0.0
0,0,1,20300078,0.0
0,0,1,20300079,0.028
0,0,1,20300080,0.098
0,0,1,20300081,0.21
0,0,1,20300082,0.322
0,0,1,20300083,0.42
0,0,1,20300084,0.497
0,0,1,20300085,0.56
0,0,1,20300086,0.56
0,0,1,20300087,0.525
0,0,1,20300088,0.455
0,0,1,20300089,0.35
0,0,1,20300090,0.21
0,0,1,20300091,0.07
0,0,1,20300092,0.014
0,0,1,20300093,0.0
0,0,1,20300094,0.0
0,0,1,20300095,0.0
0,0,1,20300096,0.0
0,0,1,20300097,0.0
0,0,1,20300098,0.0
0,0,1,20300099,0.0
0,0,1,20300100,0.0
0,0,1,20300101,0.0
0,0,1,20300102,0.0
0,0,1,20300103,0.028
0,0,1,20300104,0.098
0,0,1,20300105,0.21
0,0,1,20300106,0.322
0,0,1,20300107,0.42
0,0,1,20300108,0.497
0,0,1,20300109,0.56
0,0,1,20300110,0.56
0,0,1,20300111,0.525
0,0,1,20300112,0.455
0,0,1,20300113,0.35
0,0,1,20300114,0.21
0,0,1,20300115,0.07
0,0,1,20300116,0.014
0,0,1,20300117,0.0
0,0,1,20300118,0.0
0,0,1,20300119,0.0
0,0,1,20300120,0.0
0,0,1,20300121,0.0
0,0,1,20300122,0.0
0,0,1,20300123,0.0
0,0,1,20300124,0.0
0,0,1,20300125,0.0
0,0,1,20300126,0.0
0,0,1,20300127,0.028
0,0,1,20300128,0.098
0,0,1,20300129,0.21
0,0,1,20300130,0.322
0,0,1,20300131,0.42
0,0,1,20300132,0.497
