load_zone,weather_iteration,stage_id,timepoint,load_component,load_mw
Zone1,0,1,20300001,all,2475.0
Zone1,0,1,20300002,all,2376.0
Zone1,0,1,20300003,all,2310.0
Zone1,0,1,20300004,all,2244.0
Zone1,0,1,20300005,all,2277.0
Zone1,0,1,20300006,all,2376.0
Zone1,0,1,20300007,all,2640.0
Zone1,0,1,20300008,all,2970.0
Zone1,0,1,20300009,all,3234.0
Zone1,0,1,20300010,all,3300.0
Zone1,0,1,20300011,all,3267.0
Zone1,0,1,20300012,all,3201.0
Zone1,0,1,20300013,all,3135.0
Zone1,0,1,20300014,all,3069.0
Zone1,0,1,20300015,all,3036.0
Zone1,0,1,20300016,all,3069.0
Zone1,0,1,20300017,all,3135.0
Zone1,0,1,20300018,all,3300.0
Zone1,0,1,20300019,all,3366.0
Zone1,0,1,20300020,all,3399.0
Zone1,0,1,20300021,all,3333.0
Zone1,0,1,20300022,all,3168.0
Zone1,0,1,20300023,all,2904.0
Zone1,0,1,20300024,all,2640.0
Zone1,0,1,20300025,all,2475.0
Zone1,0,1,20300026,all,2376.0
Zone1,0,1,20300027,all,2310.0
Zone1,0,1,20300028,all,2244.0
Zone1,0,1,20300029,all,2277.0
Zone1,0,1,20300030,all,2376.0
Zone1,0,1,20300031,all,2640.0
Zone1,0,1,20300032,all,2970.0
Zone1,0,1,20300033,all,3234.0
Zone1,0,1,20300034,all,3300.0
Zone1,0,1,20300035,all,3267.0
Zone1,0,1,20300036,all,3201.0
Zone1,0,1,20300037,all,3135.0
Zone1,0,1,20300038,all,3069.0
Zone1,0,1,20300039,all,3036.0
Zone1,0,1,20300040,all,3069.0
Zone1,0,1,20300041,all,3135.0
Zone1,0,1,20300042,all,3300.0
Zone1,0,1,20300043,all,3366.0
Zone1,0,1,20300044,all,3399.0
Zone1,0,1,20300045,all,3333.0
Zone1,0,1,20300046,all,3168.0
Zone1,0,1,20300047,all,2904.0
Zone1,0,1,20300048,all,2640.0
Zone1,0,1,20300049,all,2475.0
Zone1,0,1,20300050,all,2376.0
Zone1,0,1,20300051,all,2310.0
Zone1,0,1,20300052,all,2244.0
Zone1,0,1,20300053,all,2277.0
Zone1,0,1,20300054,all,2376.0
Zone1,0,1,20300055,all,2640.0
Zone1,0,1,20300056,all,2970.0
Zone1,0,1,20300057,all,3234.0
Zone1,0,1,20300058,all,3300.0
Zone1,0,1,20300059,all,3267.0
Zone1,0,1,20300060,all,3201.0
Zone1,0,1,20300061,all,3135.0
Zone1,0,1,20300062,all,3069.0
Zone1,0,1,20300063,all,3036.0
Zone1,0,1,20300064,all,3069.0
Zone1,0,1,20300065,all,3135.0
Zone1,0,1,20300066,all,3300.0
Zone1,0,1,20300067,all,3366.0
Zone1,0,1,20300068,all,3399.0
Zone1,0,1,20300069,all,3333.0
Zone1,0,1,20300070,all,3168.0
Zone1,0,1,20300071,all,2904.0
Zone1,0,1,20300072,all,2640.0
Zone1,0,1,20300073,all,2475.0
Zone1,0,1,20300074,all,2376.0
Zone1,0,1,20300075,all,2310.0
Zone1,0,1,20300076,all,2244.0
Zone1,0,1,20300077,all,2277.0
Zone1,0,1,20300078,all,2376.0
Zone1,0,1,20300079,all,2640.0
Zone1,0,1,20300080,all,2970.0
Zone1,0,1,20300081,all,3234.0
Zone1,0,1,20300082,all,3300.0
Zone1,0,1,20300083,all,3267.0
Zone1,0,1,20300084,all,3201.0
Zone1,0,1,20300085,all,3135.0
Zone1,0,1,20300086,all,3069.0
Zone1,0,1,20300087,all,3036.0
Zone1,0,1,20300088,all,3069.0
Zone1,0,1,20300089,all,3135.0
Zone1,0,1,20300090,all,3300.0
Zone1,0,1,20300091,all,3366.0
Zone1,0,1,20300092,all,3399.0
Zone1,0,1,20300093,all,3333.0
Zone1,0,1,20300094,all,3168.0
Zone1,0,1,20300095,all,2904.0
Zone1,0,1,20300096,all,2640.0
Zone1,0,1,20300097,all,2475.0
Zone1,0,1,20300098,all,2376.0
Zone1,0,1,20300099,all,2310.0
Zone1,0,1,20300100,all,2244.0
Zone1,0,1,20300101,all,2277.0
Zone1,0,1,20300102,all,2376.0
Zone1,0,1,20300103,all,2640.0
Zone1,0,1,20300104,all,2970.0
Zone1,0,1,20300105,all,3234.0
Zone1,0,1,20300106,all,3300.0
Zone1,0,1,20300107,all,3267.0
Zone1,0,1,20300108,all,3201.0
Zone1,0,1,20300109,all,3135.0
Zone1,0,1,20300110,all,3069.0
Zone1,0,1,20300111,all,3036.0
Zone1,0,1,20300112,all,3069.0
Zone1,0,1,20300113,all,3135.0
Zone1,0,1,20300114,all,3300.0
Zone1,0,1,20300115,all,3366.0
Zone1,0,1,20300116,all,3399.0
Zone1,0,1,20300117,all,3333.0
Zone1,0,1,20300118,all,3168.0
Zone1,0,1,20300119,all,2904.0
Zone1,0,1,20300120,all,2640.0
Zone1,0,1,20300121,all,2475.0
Zone1,0,1,20300122,all,2376.0
Zone1,0,1,20300123,all,2310.0
Zone1,0,1,20300124,all,2244.0
Zone1,0,1,20300125,all,2277.0
Zone1,0,1,20300126,all,2376.0
Zone1,0,1,20300127,all,2640.0
Zone1,0,1,20300128,all,2970.0
Zone1,0,1,20300129,all,3234.0
Zone1,0,1,20300130,all,3300.0
Zone1,0,1,20300131,all,3267.0
Zone1,0,1,20300132,all,3201.0
Zone1,0,1,20300133,all,3135.0
Zone1,0,1,20300134,all,3069.0
Zone1,0,1,20300135,all,3036.0
Zone1,0,1,20300136,all,3069.0
Zone1,0,1,20300137,all,3135.0
Zone1,0,1,20300138,all,3300.0
Zone1,0,1,20300139,all,3366.0
Zone1,0,1,20300140,all,3399.0
Zone1,0,1,20300141,all,3333.0
Zone1,0,1,20300142,all,3168.0
Zone1,0,1,20300143,all,2904.0
Zone1,0,1,20300144,all,2640.0
Zone1,0,1,20300145,all,2475.0
Zone1,0,1,20300146,all,2376.0
Zone1,0,1,20300147,all,2310.0
Zone1,0,1,20300148,all,2244.0
Zone1,0,1,20300149,all,2277.0
Zone1,0,1,20300150,all,2376.0
Zone1,0,1,20300151,all,2640.0
Zone1,0,1,20300152,all,2970.0
Zone1,0,1,20300153,all,3234.0
Zone1,0,1,20300154,all,3300.0
Zone1,0,1,20300155,all,3267.0
Zone1,0,1,20300156,all,3201.0
Zone1,0,1,20300157,all,3135.0
Zone1,0,1,20300158,all,3069.0
Zone1,0,1,20300159,all,3036.0
Zone1,0,1,20300160,all,3069.0
Zone1,0,1,20300161,all,3135.0
Zone1,0,1,20300162,all,3300.0
Zone1,0,1,20300163,all,3366.0
Zone1,0,1,20300164,all,3399.0
Zone1,0,1,20300165,all,3333.0
Zone1,0,1,20300166,all,3168.0
Zone1,0,1,20300167,all,2904.0
Zone1,0,1,20300168,all,2640.0
Zone1,0,1,20300169,all,2475.0
Zone1,0,1,20300170,all,2376.0
Zone1,0,1,20300171,all,2310.0
Zone1,0,1,20300172,all,2244.0
Zone1,0,1,20300173,all,2277.0
Zone1,0,1,20300174,all,2376.0
Zone1,0,1,20300175,all,2640.0
Zone1,0,1,20300176,all,2970.0
Zone1,0,1,20300177,all,3234.0
Zone1,0,1,20300178,all,3300.0
Zone1,0,1,20300179,all,3267.0
Zone1,0,1,20300180,all,3201.0
Zone1,0,1,20300181,all,3135.0
Zone1,0,1,20300182,all,3069.0
Zone1,0,1,20300183,all,3036.0
Zone1,0,1,20300184,all,3069.0
Zone1,0,1,20300185,all,3135.0
Zone1,0,1,20300186,all,3300.0
Zone1,0,1,20300187,all,3366.0
Zone1,0,1,20300188,all,3399.0
Zone1,0,1,20300189,all,3333.0
Zone1,0,1,20300190,all,3168.0
Zone1,0,1,20300191,all,2904.0
Zone1,0,1,20300192,all,2640.0
Zone1,0,1,20300193,all,2475.0
Zone1,0,1,20300194,all,2376.0
Zone1,0,1,20300195,all,2310.0
Zone1,0,1,20300196,all,2244.0
Zone1,0,1,20300197,all,2277.0
Zone1,0,1,20300198,all,2376.0
Zone1,0,1,20300199,all,2640.0
Zone1,0,1,20300200,all,2970.0
Zone1,0,1,20300201,all,3234.0
Zone1,0,1,20300202,all,3300.0
Zone1,0,1,20300203,all,3267.0
Zone1,0,1,20300204,all,3201.0
Zone1,0,1,20300205,all,3135.0
Zone1,0,1,20300206,all,3069.0
Zone1,0,1,20300207,all,3036.0
Zone1,0,1,20300208,all,3069.0
Zone1,0,1,20300209,all,3135.0
Zone1,0,1,20300210,all,3300.0
Zone1,0,1,20300211,all,3366.0
Zone1,0,1,20300212,all,3399.0
Zone1,0,1,20300213,all,3333.0
Zone1,0,1,20300214,all,3168.0
Zone1,0,1,20300215,all,2904.0
Zone1,0,1,20300216,all,2640.0
Zone1,0,1,20300217,all,2475.0
Zone1,0,1,20300218,all,2376.0
Zone1,0,1,20300219,all,2310.0
Zone1,0,1,20300220,all,2244.0
Zone1,0,1,20300221,all,2277.0
Zone1,0,1,20300222,all,2376.0
Zone1,0,1,20300223,all,2640.0
Zone1,0,1,20300224,all,2970.0
Zone1,0,1,20300225,all,3234.0
Zone1,0,1,20300226,all,3300.0
Zone1,0,1,20300227,all,3267.0
Zone1,0,1,20300228,all,3201.0
Zone1,0,1,20300229,all,3135.0
Zone1,0,1,20300230,all,3069.0
Zone1,0,1,20300231,all,3036.0
Zone1,0,1,20300232,all,3069.0
Zone1,0,1,20300233,all,3135.0
Zone1,0,1,20300234,all,3300.0
Zone1,0,1,20300235,all,3366.0
Zone1,0,1,20300236,all,3399.0
Zone1,0,1,20300237,all,3333.0
Zone1,0,1,20300238,all,3168.0
Zone1,0,1,20300239,all,2904.0
Zone1,0,1,20300240,all,2640.0
Zone1,0,1,20300241,all,2475.0
Zone1,0,1,20300242,all,2376.0
Zone1,0,1,20300243,all,2310.0
Zone1,0,1,20300244,all,2244.0
Zone1,0,1,20300245,all,2277.0
Zone1,0,1,20300246,all,2376.0
Zone1,0,1,20300247,all,2640.0
Zone1,0,1,20300248,all,2970.0
Zone1,0,1,20300249,all,3234.0
Zone1,0,1,20300250,all,3300.0
Zone1,0,1,20300251,all,3267.0
Zone1,0,1,20300252,all,3201.0
Zone1,0,1,20300253,all,3135.0
Zone1,0,1,20300254,all,3069.0
Zone1,0,1,20300255,all,3036.0
Zone1,0,1,20300256,all,3069.0
Zone1,0,1,20300257,all,3135.0
Zone1,0,1,20300258,all,3300.0
Zone1,0,1,20300259,all,3366.0
Zone1,0,1,20300260,all,3399.0
Zone1,0,1,20300261,all,3333.0
Zone1,0,1,20300262,all,3168.0
Zone1,0,1,20300263,all,2904.0
Zone1,0,1,20300264,all,2640.0
Zone1,0,1,20300265,all,2475.0
Zone1,0,1,20300266,all,2376.0
Zone1,0,1,20300267,all,2310.0
Zone1,0,1,20300268,all,2244.0
Zone1,0,1,20300269,all,2277.0
Zone1,0,1,20300270,all,2376.0
Zone1,0,1,20300271,all,2640.0
Zone1,0,1,20300272,all,2970.0
Zone1,0,1,20300273,all,3234.0
Zone1,0,1,20300274,all,3300.0
Zone1,0,1,20300275,all,3267.0
Zone1,0,1,20300276,all,3201.0
Zone1,0,1,20300277,all,3135.0
Zone1,0,1,20300278,all,3069.0
Zone1,0,1,20300279,all,3036.0
Zone1,0,1,20300280,all,3069.0
Zone1,0,1,20300281,all,3135.0
Zone1,0,1,20300282,all,3300.0
Zone1,0,1,20300283,all,3366.0
Zone1,0,1,20300284,all,3399.0
Zone1,0,1,20300285,all,3333.0
Zone1,0,1,20300286,all,3168.0
Zone1,0,1,20300287,all,2904.0
Zone1,0,1,20300288,all,2640.0
Zone1,0,1,20300289,all,2475.0
Zone1,0,1,20300290,all,2376.0
Zone1,0,1,20300291,all,2310.0
Zone1,0,1,20300292,all,2244.0
Zone1,0,1,20300293,all,2277.0
Zone1,0,1,20300294,all,2376.0
Zone1,0,1,20300295,all,2640.0
Zone1,0,1,20300296,all,2970.0
Zone1,0,1,20300297,all,3234.0
Zone1,0,1,20300298,all,3300.0
Zone1,0,1,20300299,all,3267.0
Zone1,0,1,20300300,all,3201.0
Zone1,0,1,20300301,all,3135.0
Zone1,0,1,20300302,all,3069.0
Zone1,0,1,20300303,all,3036.0
Zone1,0,1,20300304,all,3069.0
Zone1,0,1,20300305,all,3135.0
Zone1,0,1,20300306,all,3300.0
Zone1,0,1,20300307,all,3366.0
Zone1,0,1,20300308,all,3399.0
Zone1,0,1,20300309,all,3333.0
Zone1,0,1,20300310,all,3168.0
Zone1,0,1,20300311,all,2904.0
Zone1,0,1,20300312,all,2640.0
Zone1,0,1,20300313,all,2475.0
Zone1,0,1,20300314,all,2376.0
Zone1,0,1,20300315,all,2310.0
Zone1,0,1,20300316,all,2244.0
Zone1,0,1,20300317,all,2277.0
Zone1,0,1,20300318,all,2376.0
Zone1,0,1,20300319,all,2640.0
Zone1,0,1,20300320,all,2970.0
Zone1,0,1,20300321,all,3234.0
Zone1,0,1,20300322,all,3300.0
Zone1,0,1,20300323,all,3267.0
Zone1,0,1,20300324,all,3201.0
Zone1,0,1,20300325,all,3135.0
Zone1,0,1,20300326,all,3069.0
Zone1,0,1,20300327,all,3036.0
Zone1,0,1,20300328,all,3069.0
Zone1,0,1,20300329,all,3135.0
Zone1,0,1,20300330,all,3300.0
Zone1,0,1,20300331,all,3366.0
Zone1,0,1,20300332,all,3399.0
Zone1,0,1,20300333,all,3333.0
Zone1,0,1,20300334,all,3168.0
Zone1,0,1,20300335,all,2904.0
Zone1,0,1,20300336,all,2640.0
Zone1,0,1,20300337,all,2475.0
Zone1,0,1,20300338,all,2376.0
Zone1,0,1,20300339,all,2310.0
Zone1,0,1,20300340,all,2244.0
Zone1,0,1,20300341,all,2277.0
Zone1,0,1,20300342,all,2376.0
Zone1,0,1,20300343,all,2640.0
Zone1,0,1,20300344,all,2970.0
Zone1,0,1,20300345,all,3234.0
Zone1,0,1,20300346,all,3300.0
Zone1,0,1,20300347,all,3267.0
Zone1,0,1,20300348,all,3201.0
Zone1,0,1,20300349,all,3135.0
Zone1,0,1,20300350,all,3069.0
Zone1,0,1,20300351,all,3036.0
Zone1,0,1,20300352,all,3069.0
Zone1,0,1,20300353,all,3135.0
Zone1,0,1,20300354,all,3300.0
Zone1,0,1,20300355,all,3366.0
Zone1,0,1,20300356,all,3399.0
Zone1,0,1,20300357,all,3333.0
Zone1,0,1,20300358,all,3168.0
Zone1,0,1,20300359,all,2904.0
Zone1,0,1,20300360,all,2640.0
Zone1,0,1,20300361,all,2475.0
Zone1,0,1,20300362,all,2376.0
Zone1,0,1,20300363,all,2310.0
Zone1,0,1,20300364,all,2244.0
Zone1,0,1,20300365,all,2277.0
Zone1,0,1,20300366,all,2376.0
Zone1,0,1,20300367,all,2640.0
Zone1,0,1,20300368,all,2970.0
Zone1,0,1,20300369,all,3234.0
Zone1,0,1,20300370,all,3300.0
Zone1,0,1,20300371,all,3267.0
Zone1,0,1,20300372,all,3201.0
Zone1,0,1,20300373,all,3135.0
Zone1,0,1,20300374,all,3069.0
Zone1,0,1,20300375,all,3036.0
Zone1,0,1,20300376,all,3069.0
Zone1,0,1,20300377,all,3135.0
Zone1,0,1,20300378,all,3300.0
Zone1,0,1,20300379,all,3366.0
Zone1,0,1,20300380,all,3399.0
Zone1,0,1,20300381,all,3333.0
Zone1,0,1,20300382,all,3168.0
Zone1,0,1,20300383,all,2904.0
Zone1,0,1,20300384,all,2640.0
Zone1,0,1,20300385,all,2475.0
