balancing_type_horizon,horizon,boundary
year,2030,linear
year,2035,linear
month,203001,circular
month,203002,circular
month,203003,circular
month,203004,circular
month,203005,circular
month,203006,circular
month,203007,circular
month,203008,circular
month,203009,circular
month,203010,circular
month,203011,circular
month,203012,circular
month,203501,circular
month,203502,circular
month,203503,circular
month,203504,circular
month,203505,circular
month,203506,circular
month,203507,circular
month,203508,circular
month,203509,circular
month,203510,circular
month,203511,circular
month,203512,circular
day,2030001,circular
day,2030002,circular
day,2030003,circular
day,2030004,circular
day,2030005,circular
day,2030006,circular
day,2030007,circular
day,2030008,circular
day,2030009,circular
day,2030010,circular
day,2030011,circular
day,2030012,circular
day,2030013,circular
day,2030014,circular
day,2030015,circular
day,2030016,circular
day,2030017,circular
day,2030018,circular
day,2030019,circular
day,2030020,circular
day,2030021,circular
day,2030022,circular
day,2030023,circular
day,2030024,circular
day,2030025,circular
day,2030026,circular
day,2030027,circular
day,2030028,circular
day,2030029,circular
day,2030030,circular
day,2030031,circular
day,2030032,circular
day,2030033,circular
day,2030034,circular
day,2030035,circular
day,2030036,circular
day,2030037,circular
day,2030038,circular
day,2030039,circular
day,2030040,circular
day,2030041,circular
day,2030042,circular
day,2030043,circular
day,2030044,circular
day,2030045,circular
day,2030046,circular
day,2030047,circular
day,2030048,circular
day,2030049,circular
day,2030050,circular
day,2030051,circular
day,2030052,circular
day,2030053,circular
day,2030054,circular
day,2030055,circular
day,2030056,circular
day,2030057,circular
day,2030058,circular
day,2030059,circular
day,2030060,circular
day,2030061,circular
day,2030062,circular
day,2030063,circular
day,2030064,circular
day,2030065,circular
day,2030066,circular
day,2030067,circular
day,2030068,circular
day,2030069,circular
day,2030070,circular
day,2030071,circular
day,2030072,circular
day,2030073,circular
day,2030074,circular
day,2030075,circular
day,2030076,circular
day,2030077,circular
day,2030078,circular
day,2030079,circular
day,2030080,circular
day,2030081,circular
day,2030082,circular
day,2030083,circular
day,2030084,circular
day,2030085,circular
day,2030086,circular
day,2030087,circular
day,2030088,circular
day,2030089,circular
day,2030090,circular
day,2030091,circular
day,2030092,circular
day,2030093,circular
day,2030094,circular
day,2030095,circular
day,2030096,circular
day,2030097,circular
day,2030098,circular
day,2030099,circular
day,2030100,circular
day,2030101,circular
day,2030102,circular
day,2030103,circular
day,2030104,circular
day,2030105,circular
day,2030106,circular
day,2030107,circular
day,2030108,circular
day,2030109,circular
day,2030110,circular
day,2030111,circular
day,2030112,circular
day,2030113,circular
day,2030114,circular
day,2030115,circular
day,2030116,circular
day,2030117,circular
day,2030118,circular
day,2030119,circular
day,2030120,circular
day,2030121,circular
day,2030122,circular
day,2030123,circular
day,2030124,circular
day,2030125,circular
day,2030126,circular
