stage_id,balancing_type_horizon,horizon,tmp_start,tmp_start_spinup_or_lookahead,tmp_end,tmp_end_spinup_or_lookahead
1,year,2030,20300001,0,20308760,0
1,year,2035,20350001,0,20358760,0
1,month,203001,20300001,0,20300744,0
1,month,203002,20300745,0,20301416,0
1,month,203003,20301417,0,20302160,0
1,month,203004,20302161,0,20302880,0
1,month,203005,20302881,0,20303624,0
1,month,203006,20303625,0,20304344,0
1,month,203007,20304345,0,20305088,0
1,month,203008,20305089,0,20305832,0
1,month,203009,20305833,0,20306552,0
1,month,203010,20306553,0,20307296,0
1,month,203011,20307297,0,20308016,0
1,month,203012,20308017,0,20308760,0
1,month,203501,20350001,0,20350744,0
1,month,203502,20350745,0,20351416,0
1,month,203503,20351417,0,20352160,0
1,month,203504,20352161,0,20352880,0
1,month,203505,20352881,0,20353624,0
1,month,203506,20353625,0,20354344,0
1,month,203507,20354345,0,20355088,0
1,month,203508,20355089,0,20355832,0
1,month,203509,20355833,0,20356552,0
1,month,203510,20356553,0,20357296,0
1,month,203511,20357297,0,20358016,0
1,month,203512,20358017,0,20358760,0
1,day,2030001,20300001,0,20300024,0
1,day,2030002,20300025,0,20300048,0
1,day,2030003,20300049,0,20300072,0
1,day,2030004,20300073,0,20300096,0
1,day,2030005,20300097,0,20300120,0
1,day,2030006,20300121,0,20300144,0
1,day,2030007,20300145,0,20300168,0
1,day,2030008,20300169,0,20300192,0
1,day,2030009,20300193,0,20300216,0
1,day,2030010,20300217,0,20300240,0
1,day,2030011,20300241,0,20300264,0
1,day,2030012,20300265,0,20300288,0
1,day,2030013,20300289,0,20300312,0
1,day,2030014,20300313,0,20300336,0
1,day,2030015,20300337,0,20300360,0
1,day,2030016,20300361,0,20300384,0
1,day,2030017,20300385,0,20300408,0
1,day,2030018,20300409,0,20300432,0
1,day,2030019,20300433,0,20300456,0
1,day,2030020,20300457,0,20300480,0
1,day,2030021,20300481,0,20300504,0
1,day,2030022,20300505,0,20300528,0
1,day,2030023,20300529,0,20300552,0
1,day,2030024,20300553,0,20300576,0
1,day,2030025,20300577,0,20300600,0
1,day,2030026,20300601,0,20300624,0
1,day,2030027,20300625,0,20300648,0
1,day,2030028,20300649,0,20300672,0
1,day,2030029,20300673,0,20300696,0
1,day,2030030,20300697,0,20300720,0
1,day,2030031,20300721,0,20300744,0
1,day,2030032,20300745,0,20300768,0
1,day,2030033,20300769,0,20300792,0
1,day,2030034,20300793,0,20300816,0
1,day,2030035,20300817,0,20300840,0
1,day,2030036,20300841,0,20300864,0
1,day,2030037,20300865,0,20300888,0
1,day,2030038,20300889,0,20300912,0
1,day,2030039,20300913,0,20300936,0
1,day,2030040,20300937,0,20300960,0
1,day,2030041,20300961,0,20300984,0
1,day,2030042,20300985,0,20301008,0
1,day,2030043,20301009,0,20301032,0
1,day,2030044,20301033,0,20301056,0
1,day,2030045,20301057,0,20301080,0
1,day,2030046,20301081,0,20301104,0
1,day,2030047,20301105,0,20301128,0
1,day,2030048,20301129,0,20301152,0
1,day,2030049,20301153,0,20301176,0
1,day,2030050,20301177,0,20301200,0
1,day,2030051,20301201,0,20301224,0
1,day,2030052,20301225,0,20301248,0
1,day,2030053,20301249,0,20301272,0
1,day,2030054,20301273,0,20301296,0
1,day,2030055,20301297,0,20301320,0
1,day,2030056,20301321,0,20301344,0
1,day,2030057,20301345,0,20301368,0
1,day,2030058,20301369,0,20301392,0
1,day,2030059,20301393,0,20301416,0
1,day,2030060,20301417,0,20301440,0
1,day,2030061,20301441,0,20301464,0
1,day,2030062,20301465,0,20301488,0
1,day,2030063,20301489,0,20301512,0
1,day,2030064,20301513,0,20301536,0
1,day,2030065,20301537,0,20301560,0
1,day,2030066,20301561,0,20301584,0
1,day,2030067,20301585,0,20301608,0
1,day,2030068,20301609,0,20301632,0
1,day,2030069,20301633,0,20301656,0
1,day,2030070,20301657,0,20301680,0
1,day,2030071,20301681,0,20301704,0
1,day,2030072,20301705,0,20301728,0
1,day,2030073,20301729,0,20301752,0
