period,discount_factor,period_start_year,period_end_year,prev_period
203001,1,2030,2030.084932,
203002,1,2030.084932,2030.161644,
203003,1,2030.161644,2030.246575,
203004,1,2030.246575,2030.328767,
203005,1,2030.328767,2030.413699,
203006,1,2030.413699,2030.49589,
203007,1,2030.49589,2030.580822,
203008,1,2030.580822,2030.665753,
203009,1,2030.665753,2030.747945,
203010,1,2030.747945,2030.832877,
203011,1,2030.832877,2030.915068,
203012,1,2030.915068,2031,
203501,1,2035,2035.084932,
203502,1,2035.084932,2035.161644,
203503,1,2035.161644,2035.246575,
203504,1,2035.246575,2035.328767,
203505,1,2035.328767,2035.413699,
203506,1,2035.413699,2035.49589,
203507,1,2035.49589,2035.580822,
203508,1,2035.580822,2035.665753,
203509,1,2035.665753,2035.747945,
203510,1,2035.747945,2035.832877,
203511,1,2035.832877,2035.915068,
203512,1,2035.915068,2036,
